# strategy=B, run=3, n=10000, seed=2003
index,name,count,percentage
0,GO,275,2.7500
1,Mediterranean Avenue,209,2.0900
2,Community Chest,164,1.6400
3,Baltic Avenue,219,2.1900
4,Income Tax,212,2.1200
5,Reading Railroad,284,2.8400
6,Oriental Avenue,190,1.9000
7,Chance,80,0.8000
8,Vermont Avenue,200,2.0000
9,Connecticut Avenue,226,2.2600
10,Jail / Just Visiting,1384,13.8400
11,St. Charles Place,228,2.2800
12,Electric Company,259,2.5900
13,States Avenue,212,2.1200
14,Virginia Avenue,228,2.2800
15,Pennsylvania Railroad,237,2.3700
16,St. James Place,271,2.7100
17,Community Chest,233,2.3300
18,Tennessee Avenue,295,2.9500
19,New York Avenue,272,2.7200
20,Free Parking,278,2.7800
21,Kentucky Avenue,259,2.5900
22,Chance,126,1.2600
23,Indiana Avenue,248,2.4800
24,Illinois Avenue,287,2.8700
25,B&O Railroad,284,2.8400
26,Atlantic Avenue,260,2.6000
27,Ventnor Avenue,256,2.5600
28,Water Works,242,2.4200
29,Marvin Gardens,228,2.2800
30,Go to Jail,0,0.0000
31,Pacific Avenue,253,2.5300
32,North Carolina Avenue,246,2.4600
33,Community Chest,208,2.0800
34,Pennsylvania Avenue,240,2.4000
35,Short Line,209,2.0900
36,Chance,101,1.0100
37,Park Place,210,2.1000
38,Luxury Tax,209,2.0900
39,Boardwalk,178,1.7800
